X,CCX3MWT1,CCX3MWT3,CCX3MWT4,CCX3MWT5,CCX3MWT6,CCX3MTG1,CCX3MTG3,CCX3MTG4,CCX3MTG5,CCX3MTG6,CCX6MWT1,CCX6MWT2,CCX6MWT3,CCX6MWT4,CCX6MWT5,CCX6MTG1,CCX6MTG3,CCX6MTG4,CCX6MTG5,CCX6MTG6
ENSMUSG00000000056,10.91077668,11.01968827,10.97005142,10.99606729,11.11472426,10.93754779,11.06131185,10.95695952,11.09072624,11.10444606,10.78388142,10.87168119,10.90001919,10.87045664,10.92342407,10.7579194,10.86215372,10.75243966,10.80382866,10.79002593
ENSMUSG00000000093,6.90181829,6.680552854,6.634639756,6.752946355,6.817931343,6.682404254,6.712936192,6.703703154,6.739868754,6.772313701,6.740554284,6.919570619,6.839335577,6.781584562,6.925965379,6.945351627,6.877036293,7.015488304,6.740789859,6.874539857
ENSMUSG00000000120,7.435875569,7.33573665,6.713510068,6.968037668,7.189297088,6.95876079,7.346841676,6.82429105,7.190461514,7.436065823,7.598266229,7.287852021,7.45836681,7.344474227,7.196108184,7.635977225,7.291514484,7.843617082,7.464657036,7.583551137
ENSMUSG00000000126,9.564348366,9.391651652,9.563613955,9.579650404,9.446680537,9.64662837,9.411570449,9.55408645,9.452172954,9.493275133,9.309178938,9.362787816,9.462800578,9.428643572,9.314837288,9.304259773,9.394383726,9.206210268,9.312355544,9.297093033
ENSMUSG00000000127,9.350763078,9.369211948,9.508234909,9.42037578,9.378296685,9.461332674,9.410423774,9.389155239,9.501677011,9.494712386,9.375476347,9.365406241,9.326245958,9.349727675,9.321171285,9.30353815,9.286726694,9.22131068,9.124510269,9.296386085
ENSMUSG00000000149,11.81254215,12.07482908,11.97197028,12.02437913,12.01085002,11.90405782,12.05745616,11.96485927,11.94757651,12.05461745,12.11896247,12.11267205,12.07928179,12.05109241,12.06050218,12.16830658,12.07968962,12.2754901,12.2737475,12.27152634
ENSMUSG00000000168,11.90252983,11.80209835,11.94558583,11.90451711,11.93251681,11.90653243,11.92728398,11.93780703,11.90207764,11.92421574,11.84045765,11.84887495,11.80676721,11.8311541,11.85688943,11.6870226,11.76067614,11.66738064,11.62844027,11.71198339
ENSMUSG00000000184,11.85659231,12.15228078,11.91345883,12.13133365,12.1951328,12.03289351,12.22635184,12.11018122,12.22944848,12.30603679,11.69622748,11.59628943,11.73226275,11.9058207,11.81276842,12.48325906,12.29054088,12.84569316,12.80989607,12.36028811
ENSMUSG00000000197,12.56151207,12.47513325,12.58574316,12.4441193,12.54050758,12.56780457,12.524462,12.50262914,12.61173195,12.5461928,12.45000706,12.49581331,12.43322105,12.42928106,12.47643734,12.30498766,12.36543559,12.13742708,12.16212831,12.33810078
ENSMUSG00000000202,9.191308555,9.375948367,9.231631408,9.415691043,9.18710909,9.142939308,9.313918294,9.43522976,9.28445898,9.210754968,9.409511253,9.289059184,9.243393497,9.252774789,9.209781401,8.771776597,9.061013441,8.631512404,8.641984863,9.093339505
ENSMUSG00000000247,11.03143522,11.07836214,11.08473751,11.29647439,11.20621061,10.95033494,11.09346603,10.93068966,11.01255977,11.03433052,11.12304649,11.15003627,11.02673511,11.25551596,11.23561804,10.69893662,10.9251571,10.74033822,10.6908804,10.83321196
ENSMUSG00000000275,8.338752573,8.49430765,8.450819228,8.512300481,8.563247299,8.585731797,8.557242538,8.646707816,8.61448338,8.685091497,8.67788748,8.482905333,8.674082343,8.475496538,8.496109484,9.720518082,9.102799693,9.779908719,9.756287358,9.369656166
ENSMUSG00000000278,9.078852397,9.05758285,9.120905054,9.199295675,9.071866112,9.142485959,9.11651212,9.048719553,9.141370751,9.153204056,9.278584613,9.148665412,9.183592298,9.207843799,9.138517414,9.568205075,9.32478213,9.565435135,9.486968712,9.267067583
ENSMUSG00000000290,7.903369898,8.125470938,7.852107041,8.014348232,7.966201763,8.029449858,8.176157763,7.966522825,7.976537101,8.019681661,8.115934994,7.904379841,8.09486483,8.163652663,8.0567536,9.414639045,8.727481885,9.763822113,9.543926979,9.011331611
ENSMUSG00000000308,12.51439455,12.67669836,12.6237909,12.72969384,12.70566797,12.63915342,12.73070701,12.59025721,12.6603138,12.65079843,12.63027593,12.62250965,12.55317317,12.63976257,12.7164927,12.39827361,12.6049977,12.28483664,12.2988793,12.52229486
ENSMUSG00000000440,7.254142193,7.072097972,7.117036907,7.239449534,7.295982084,7.247545481,7.160918573,7.273069525,7.185765488,7.299043688,7.18691111,7.329333609,7.235800254,7.376337759,7.256843411,7.08426062,7.038932206,7.069444505,7.100784439,7.00845041
ENSMUSG00000000531,10.74419867,10.93678801,10.64484107,10.85181936,10.93740079,10.71042592,10.93290796,10.67779044,10.72161989,10.93652146,10.61749255,10.6455619,10.71432703,10.72150121,10.60393856,10.46543286,10.56506504,10.51137845,10.61346875,10.57413033
