X,gene_name,baseMean_AD_6M,baseMean_WT_6M,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Description
ENSMUSG00000037482,Erv3,23712.79825,24.54298344,12221.61755,9.945550725,0.146224283,68.01572592,0,0,endogenous retroviral sequence 3 [Source:MGI Symbol;Acc:MGI:1919245]
ENSMUSG00000086822,5330413P13Rik,6142.279679,131.0103946,3343.244878,5.537796839,0.068564338,80.76788852,0,0,RIKEN cDNA 5330413P13 gene [Source:MGI Symbol;Acc:MGI:3041161]
ENSMUSG00000020932,Gfap,60224.00516,4526.837431,19437.24884,3.733643905,0.153015155,24.40048439,1.6901E-131,1.4778E-127,glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697]
ENSMUSG00000073418,C4b,15018.12843,780.5661056,4301.221915,4.265350863,0.222770541,19.14683528,1.0285E-81,6.74518E-78,complement component 4B (Chido blood group) [Source:MGI Symbol;Acc:MGI:88228]
ENSMUSG00000021091,Serpina3n,7624.618911,442.7681285,2247.54179,4.105839698,0.242412518,16.93740793,2.384E-64,1.25079E-60,"serine (or cysteine) peptidase inhibitor, clade A, member 3N [Source:MGI Symbol;Acc:MGI:105045]"
ENSMUSG00000034855,Cxcl10,720.7816164,7.017763712,189.3782474,6.669383283,0.429873231,15.5147676,2.75631E-54,1.2051E-50,chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]
ENSMUSG00000027339,Rassf2,6254.640444,3246.987893,4440.356112,0.944981914,0.061780784,15.2957255,8.16459E-53,3.05974E-49,Ras association (RalGDS/AF-6) domain family member 2 [Source:MGI Symbol;Acc:MGI:2442060]
ENSMUSG00000059336,Slc14a1,1249.8272,350.8745193,627.0232967,1.829762061,0.120587506,15.1737284,5.27909E-52,1.73108E-48,"solute carrier family 14 (urea transporter), member 1 [Source:MGI Symbol;Acc:MGI:1351654]"
ENSMUSG00000033880,Lgals3bp,4990.70797,527.3205253,1679.52433,3.241626538,0.213885919,15.15586701,6.92949E-52,2.01979E-48,"lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]"
ENSMUSG00000068699,Flnc,2486.643829,103.5860579,694.0693351,4.584503408,0.333159995,13.76066598,4.3946E-43,1.15284E-39,"filamin C, gamma [Source:MGI Symbol;Acc:MGI:95557]"
ENSMUSG00000040296,Ddx58,1030.704718,212.9016115,428.3489943,2.273876932,0.165799437,13.71462399,8.29955E-43,1.97929E-39,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:2442858]
ENSMUSG00000026728,Vim,17812.82684,1105.576572,5260.486102,4.009926619,0.292621547,13.70345644,9.68041E-43,2.11622E-39,vimentin [Source:MGI Symbol;Acc:MGI:98932]
